user_name,follows_who,saved_playlists
Alberto Flores,Carmen Perez,5
Alejandra Herrera,Valeria Sierra,7
Alicia Morales,Romina Grijalva,8
Ana Garcia,Cristina Castro,4
Andres Diaz,Diego Fernandez,1
Angela Rubio,Rosa Delgado,10
Antonio Pena,Gloria Castro,8
Carlos Sanchez,Amadeo Zazueta,3
Carmen Perez,Isabel Navarro,0
Claudia Rios,Laura Gonzalez,7
Cristina Castro,Romina Grijalva,4
Daniel Morales,Daniel Morales,1
Daniela Martinez,Vicente Fernandez,1
Diego Fernandez,Romina Grijalva,4
Eduardo Reyes,Hugo Sanchez,7
Elena Romero,Pedro Amador,9
Enrique Leon,Julia Marin,3
Fernando Ruiz,Romina Grijalva,5
Francisco Lara,Victor Vargas,6
Gloria Castro,Isabel Navarro,10
Guillermo Aguilar,Vicente Fernandez,7
Isabel Navarro,Javier Ibarra,4
Javier Ibarra,Carmen Perez,0
Jorge Torres,Victor Vargas,4
Jose Gomez,Luis Tabares,0
Juan Perez,Valeria Sierra,2
Julia Marin,Hector Godinez,4
Laura Gonzalez,Maria Rodriguez,1
Lucia Mendez,Romina Grijalva,9
Luis Martinez,Enrique Leon,7
Manuel Ortiz,Julia Marin,9
Maria Rodriguez,Eduardo Reyes,7
Mario Alvarado,Rafael Mendoza,4
Marta Soto,Pedro Martinez,6
Miguel Hernandez,Guillermo Aguilar,8
Pablo Cruz,Miguel Hernandez,7
Paula Vargas,Francisco Lara,7
Rafael Mendoza,Hugo Sanchez,1
Ricardo Mendoza,Francisco Lara,3
Rosa Delgado,Daniel Morales,6
Santiago Ortiz,Fatima Dominguez,9
Silvia Guzman,Isabella Gomez,6
Sofia Lopez,Victor Vargas,9
Teresa Jimenez,Marta Soto,6
Victor Vargas,Jorge Torres,2
Victoria Carrillo,Valeria Sierra,3
Adriana Ramirez,Adriana Ramirez,5
Isabella Gomez,Manuel Ortiz,4
Fatima Dominguez,Cesar Lara,1
Fernanda Palomo,Miguel Hernandez,9
Santiago Velasco,Laura Gonzalez,8
Luis Tabares,Hugo Sanchez,6
Juan Soto,Antonio Pena,6
Pedro Amador,Rafael Mendoza,7
Marcelo Bugarin,Maria Rodriguez,6
Jesus Gonzalez,Marcelo Bugarin,5
Karla Gallegos,Jose Gomez,1
Jaime Villasenos,Pedro Dominguez,6
Raul Jimenez,Sofia Lopez,0
Amadeo Zazueta,Adriana Ramirez,6
Agustin Sauceda,Fernando Ruiz,0
Luis Urquidi,Victoria Carrillo,2
Pedro Dominguez,Maria Rodriguez,1
Vicente Fernandez,Jose Gomez,8
Raul Alejandro,Gloria Castro,2
Daniel Sanchez,Alicia Morales,0
Hugo Sanchez,Rafael Mendoza,7
Romina Grijalva,Rafael Mendoza,5
Hector Godinez,Daniel Morales,1
Angel Aguirre,Alberto Flores,9
Erick Velazquez,Francisco Lara,7
Pedro Martinez,Carmen Perez,1
Cesar Lara,Raul Alejandro,6
Luis Morales,Javier Ibarra,2
Valeria Sierra,Raul Alejandro,7
